date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-06-12 21:45:03,CDCgov,,79,170,300,"The latest CDC #COVIDView report shows that, after declining for several weeks, the percentage of people testing positive nationally for #COVID19 increased slightly compared to last week. CDC will continue to monitor this indicator: https://bit.ly/2ViFflZ",,,#COVIDView #COVID19,1271559161583714305,https://twitter.com/CDCgov/status/1271559161583714305
2020-06-12 21:00:00,CDCgov,,151,321,485,"The coming weeks could see a possible increase of #COVID19 cases as states reopen. It’s too soon to tell if this will happen, but CDC is working closely with state health departments to monitor activity. Learn more about COVID-19: https://bit.ly/37TphmF",,,#COVID19,1271547824400990211,https://twitter.com/CDCgov/status/1271547824400990211
2020-06-12 20:03:02,CDCgov,,218,1309,1992,"#Employers: Antibody tests for #COVID19 should not be used to determine if someone can return to work. There is not enough information yet to say whether someone will be immune and protected from reinfection if they have antibodies to the virus. More: https://bit.ly/3cTUN68",,,#Employers #COVID19,1271533487665881088,https://twitter.com/CDCgov/status/1271533487665881088
2020-06-12 18:35:02,CDCgov,,94,262,437,"It’s time to slow the spread of #COVID19. Health departments: communicate the importance of contact tracing with your communities. CDC has a toolkit to help: https://bit.ly/COVID-tracing",,,#COVID19,1271511344785821697,https://twitter.com/CDCgov/status/1271511344785821697
2020-06-12 17:45:04,CDCgov,,121,610,674,"As of June 8, forecasts suggest the total number of #COVID19 deaths will exceed 124,000 by July 4. Additionally, 6 states will likely see the number of new deaths reported between June 8 and July 4 exceed the number reported over the last 4 weeks: https://bit.ly/3cKQIl4",,,#COVID19,1271498768274382848,https://twitter.com/CDCgov/status/1271498768274382848
2020-06-12 17:06:37,CDCgov,,36,165,298,"A May survey of public attitudes, behaviors, & beliefs regarding #COVID19 recommendations found widespread support of stay-at-home orders &amp; nonessential business closures. Most participants also reported adhering to public health guidelines. See @CDCMMWR: http://bit.ly/MMWR61220",,@CDCMMWR,#COVID19,1271489092577099777,https://twitter.com/CDCgov/status/1271489092577099777
2020-06-12 15:41:00,CDCgov,,40,176,281,"CDC recommends using an EPA-registered household disinfectant to protect against the virus that causes #COVID19. Visit the @EPA’s website for a list of products that meet EPA's criteria for use against the virus. See List N. https://bit.ly/2UhNL3R",,@EPA,#COVID19,1271467545586020354,https://twitter.com/CDCgov/status/1271467545586020354
2020-06-11 20:40:02,CDCgov,,134,828,1118,"Scientists do not know if having antibodies to the virus that causes #COVID19 can protect someone from getting infected again or how long protection may last. If you test positive, continue to take preventive measures to protect yourself &amp; others. More: https://bit.ly/3gbWM8V",,,#COVID19,1271180413134876672,https://twitter.com/CDCgov/status/1271180413134876672
2020-06-11 19:51:03,CDCgov,,19,138,208,"Office building employers, building owners and managers, and building operations specialists can create a #COVID19 workplace health and safety plan to help protect workers and clients. Learn more: https://bit.ly/2A0PXqz",,,#COVID19,1271168085567967236,https://twitter.com/CDCgov/status/1271168085567967236
2020-06-11 16:42:02,CDCgov,,13,127,209,"#Parents, you can help protect your child against 14 vaccine-preventable diseases by keeping them on track with recommended childhood #vaccinations. Learn more about how to prepare for a well-child visit with your pediatric provider: https://bit.ly/2B160EM",,,#Parents #vaccinations,1271120516267552770,https://twitter.com/CDCgov/status/1271120516267552770
