date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
6/6/20 22:48,realDonaldTrump,,106873,67292,395287,LAW & ORDER!,,,,1.2694E+18,https://twitter.com/realDonaldTrump/status/1269400770472001539
6/6/20 22:31,realDonaldTrump,,57229,49000,282921,Wow! 96% Approval Rating in the Republican Party (and I believe this was before the “GREAT” Jobs Numbers yesterday). Thank you!,,,,1.2694E+18,https://twitter.com/realDonaldTrump/status/1269396484048465921
6/6/20 19:56,realDonaldTrump,,11659,23813,70283,,,,,1.26936E+18,https://twitter.com/realDonaldTrump/status/1269357552854327296
6/6/20 14:36,realDonaldTrump,,14080,30242,131745,,,,,1.26928E+18,https://twitter.com/realDonaldTrump/status/1269276894819692544
6/6/20 11:53,realDonaldTrump,lily_marston,20324,29531,119983,Riot gear or military control is not necessary because ANTIFA & other Wacko groups of Anarchists aren’t present to cause trouble. Incredible people. Thank you Maine!,,,,1.26924E+18,https://twitter.com/realDonaldTrump/status/1269235993812570112
6/6/20 3:19,realDonaldTrump,,20099,22926,112873,Great new book by @PastorDScott called “Nothing to Lose”. The Pastor is a winner and a great guy. Much can be learned from him. Buy the book. Make him a Big Deal Author!,,@PastorDScott,,1.26911E+18,https://twitter.com/realDonaldTrump/status/1269106594102628359
6/6/20 2:57,realDonaldTrump,,24567,29351,118610,“This is a flat out lie. They (the media) are making things up” @CharlesHurt @IngrahamAngle The Lamestream Media is out of control. It would be impossible to fully explain how dishonest they are!,,@CharlesHurt @IngrahamAngle,,1.2691E+18,https://twitter.com/realDonaldTrump/status/1269101156367765504
6/6/20 2:00,realDonaldTrump,ObamaMalik,26388,36130,119979,Crazy!,,,,1.26909E+18,https://twitter.com/realDonaldTrump/status/1269086797226815490
6/6/20 1:36,realDonaldTrump,RichardGrenell,15560,23345,70039,Biden wants to Defund the Police!,,,,1.26908E+18,https://twitter.com/realDonaldTrump/status/1269080686985719808
6/6/20 1:29,realDonaldTrump,JaySekulow,3890,14657,54059,We will always defend. Great job Jay!,,,,1.26908E+18,https://twitter.com/realDonaldTrump/status/1269078999176818693
6/6/20 1:26,realDonaldTrump,RichardGrenell,9844,16870,70495,You must be kidding??? This is a total disgrace!,,,,1.26908E+18,https://twitter.com/realDonaldTrump/status/1269078289467006979
6/6/20 1:01,realDonaldTrump,,10148,33566,167699,THANK YOU MAINE! #MAGA,,,#MAGA,1.26907E+18,https://twitter.com/realDonaldTrump/status/1269071937914929153
6/6/20 1:01,realDonaldTrump,,21986,34766,86355,Twitter Pulls Trump Campaign Video of President Showing Empathy For Peaceful Protesters https://davidharrisjr.com/rich/twitter-pulls-trump-campaign-video-of-president-showing-empathy-for-peaceful-protesters/ They are fighting hard for the Radical Left Democrats. A one sided battle. Illegal. Section 230!,,,,1.26907E+18,https://twitter.com/realDonaldTrump/status/1269071790015471621
6/6/20 0:56,realDonaldTrump,,4751,12097,35256,"Democrat John Hickenlooper Held in Contempt After Failing to Comply with Subpoena over Ethics Complaint https://davidharrisjr.com/steven/democrat-john-hickenlooper-held-in-contempt-after-failing-to-comply-with-subpoena-over-ethics-complaint/ Got caught big time with his hand in the cookie jar. Should be the end of his Colorado Senate bid. Makes no difference, we already have a GREAT Senator!",,,,1.26907E+18,https://twitter.com/realDonaldTrump/status/1269070651693948928
6/6/20 0:51,realDonaldTrump,TeamTrump,3362,11416,41713,What a fantastic group!,,,,1.26907E+18,https://twitter.com/realDonaldTrump/status/1269069457412030464
6/6/20 0:50,realDonaldTrump,RealCandaceO,2916,18629,74667,Great!,,,,1.26907E+18,https://twitter.com/realDonaldTrump/status/1269069041626484737
6/5/20 23:10,realDonaldTrump,,57121,37677,151116,".@MayorBowser is grossly incompetent, and in no way qualified to be running an important city like Washington, D.C. If the great men and women of the National Guard didn’t step forward, she would have looked no better than her counterpart Mayor in Minneapolis!",,@MayorBowser,,1.26904E+18,https://twitter.com/realDonaldTrump/status/1269043981461184514
6/5/20 20:08,realDonaldTrump,,66579,43874,214337,"...We should be standing up straight and tall, ideally with a salute, or a hand on heart. There are other things you can protest, but not our Great American Flag - NO KNEELING!",,,,1.269E+18,https://twitter.com/realDonaldTrump/status/1268998143733051394
6/5/20 20:08,realDonaldTrump,,47207,52906,282669,"I am a big fan of Drew Brees. I think he’s truly one of the greatest quarterbacks, but he should not have taken back his original stance on honoring our magnificent American Flag. OLD GLORY is to be revered, cherished, and flown high...",,,,1.269E+18,https://twitter.com/realDonaldTrump/status/1268998142860627969
6/5/20 18:04,realDonaldTrump,,14113,19651,88907,"...over the last number of nights. If she doesn’t treat these men and women well, then we’ll bring in a different group of men and women!",,,,1.26897E+18,https://twitter.com/realDonaldTrump/status/1268966947938590721
6/5/20 18:04,realDonaldTrump,,23836,30660,123520,"The incompetent Mayor of Washington, D.C., @MayorBowser, who’s budget is totally out of control and is constantly coming back to us for “handouts”, is now fighting with the National Guard, who saved her from great embarrassment...",,@MayorBowser,,1.26897E+18,https://twitter.com/realDonaldTrump/status/1268966945971417088
6/5/20 17:28,realDonaldTrump,,7744,14702,59359,I just signed the Paycheck Protection Program Flexibility Act to further improve our VERY POPULAR AND SUCCESSFUL program to help small businesses. THANK YOU to our GREAT REPUBLICAN SENATORS! @senatemajldr @marcorubio @SenatorCollins @SteveDaines @SenThomTillis @SenCoryGardner,,@senatemajldr @marcorubio @SenatorCollins @SteveDaines @SenThomTillis @SenCoryGardner,,1.26896E+18,https://twitter.com/realDonaldTrump/status/1268957851810066432
6/5/20 16:32,realDonaldTrump,,14709,27962,115244,,,,,1.26894E+18,https://twitter.com/realDonaldTrump/status/1268943786937397248
6/5/20 16:31,realDonaldTrump,,15576,20901,81103,Greatest Top Five Monthly Jobs Gains in HISTORY. We are #1!,,,,1.26894E+18,https://twitter.com/realDonaldTrump/status/1268943483013943298
6/5/20 16:29,realDonaldTrump,,6354,15417,81888,“Really great numbers by any standard - UNBELIEVABLE!” @JoeSquawk Joe go it right also!,,@JoeSquawk,,1.26894E+18,https://twitter.com/realDonaldTrump/status/1268942964992114693
6/5/20 13:01,realDonaldTrump,,12613,15216,87847,It is a stunner by any stretch of the imagination! @CNBC,,@CNBC,,1.26889E+18,https://twitter.com/realDonaldTrump/status/1268890724591964160
6/5/20 12:59,realDonaldTrump,,8564,15868,73117,"It’s a stupendous number. It’s joyous, let’s call it like it is. The Market was right. It’s stunning! @jimcramer @CNBC",,@jimcramer @CNBC,,1.26889E+18,https://twitter.com/realDonaldTrump/status/1268890135459921921
6/5/20 12:54,realDonaldTrump,,15168,26378,140960,"Oh no, the Dems are worried again. The only one that can kill this comeback is Sleepy Joe Biden!",,,,1.26889E+18,https://twitter.com/realDonaldTrump/status/1268888880264155136
6/5/20 12:51,realDonaldTrump,,4494,21558,102150,"Congratulations to wonderful Charles Payne on having been so optimistic, and therefore correct. Market up BIG!!!",,,,1.26889E+18,https://twitter.com/realDonaldTrump/status/1268888049792036867
